Place,District,Type,Budget,Season,Interest,Rating,Approx_Cost,Image_URL,Youtube_Link,Hotel_Budget,Hotel_Budget_Price,Hotel_Premium,Hotel_Premium_Price,Latitude,Longitude,image_url
Sarang Kheda Memorial,Nandurbar,Spiritual,Low,Monsoon,Relaxation,4.2,2229,/static/images/sarang_kheda_memorial.jpg,https://www.youtube.com/embed/sample_sarang_kheda_memorial,Green Leaf Lodge Nandurbar,1336,Novotel Heritage Nandurbar,4203,19.8246,79.9683,https://source.unsplash.com/800x600/?Sarang%20Kheda%20Memorial%2CSpiritual%2CMaharashtra
Guhagar Beach View,Ratnagiri,Beach,Low,Winter,Relaxation,3.7,3555,/static/images/guhagar_beach_view.jpg,https://www.youtube.com/embed/sample_guhagar_beach_view,City Center Guest House Ratnagiri,1621,Orchid Resort Ratnagiri,5576,18.4926,79.4977,https://source.unsplash.com/800x600/?Guhagar%20Beach%20View%2CBeach%2CMaharashtra
Hazra Fall Heritage,Gondia,Historical,Low,Monsoon,Cultural,3.8,3293,/static/images/hazra_fall_heritage.jpg,https://www.youtube.com/embed/sample_hazra_fall_heritage,Pleasant Stay Gondia,1535,The Grand Regency Gondia,3985,18.4689,73.1088,https://source.unsplash.com/800x600/?Hazra%20Fall%20Heritage%2CHistorical%2CMaharashtra
Rajiv Gandhi Zoological Park Museum,Pune,Historical,High,All,Relaxation,4.7,12407,/static/images/rajiv_gandhi_zoological_park_museum.jpg,https://www.youtube.com/embed/sample_rajiv_gandhi_zoological_park_museum,The Residency Pune,1125,Gateway Palace Pune,4741,20.8879,73.2749,https://source.unsplash.com/800x600/?Rajiv%20Gandhi%20Zoological%20Park%20Museum%2CHistorical%2CMaharashtra
Gosekhurd Dam Ancient Site,Bhandara,Historical,Medium,All,Nature,3.7,7093,/static/images/gosekhurd_dam_ancient_site.jpg,https://www.youtube.com/embed/sample_gosekhurd_dam_ancient_site,Pleasant Stay Bhandara,1320,The Grand Regency Bhandara,4328,17.9081,77.4886,https://source.unsplash.com/800x600/?Gosekhurd%20Dam%20Ancient%20Site%2CHistorical%2CMaharashtra
Bhuikot Fort Lake Side,Solapur,Fort,Low,Monsoon,Adventure,3.9,3834,/static/images/bhuikot_fort_lake_side.jpg,https://www.youtube.com/embed/sample_bhuikot_fort_lake_side,Green Leaf Lodge Solapur,1671,Marriott Executive Solapur,5520,20.7817,76.2429,https://source.unsplash.com/800x600/?Bhuikot%20Fort%20Lake%20Side%2CFort%2CMaharashtra
Parvati Hill View,Pune,Hill,Medium,All,Nature,4.4,4028,/static/images/parvati_hill_view.jpg,https://www.youtube.com/embed/sample_parvati_hill_view,Green Leaf Lodge Pune,1038,Gateway Palace Pune,5589,18.2658,73.0015,https://source.unsplash.com/800x600/?Parvati%20Hill%20View%2CHill%2CMaharashtra
Nagzira Wildlife Sanctuary Lake Side,Nagpur,Wildlife,Low,Winter,Wildlife,4.3,1960,/static/images/nagzira_wildlife_sanctuary_lake_side.jpg,https://www.youtube.com/embed/sample_nagzira_wildlife_sanctuary_lake_side,Hotel Sai Nagpur,1536,Orchid Resort Nagpur,4826,16.5424,78.4547,https://source.unsplash.com/800x600/?Nagzira%20Wildlife%20Sanctuary%20Lake%20Side%2CWildlife%2CMaharashtra
Vishwa Shanti Stupa View,Wardha,Wildlife,High,Winter,Nature,4.7,11493,/static/images/vishwa_shanti_stupa_view.jpg,https://www.youtube.com/embed/sample_vishwa_shanti_stupa_view,Hotel Sai Wardha,1776,Marriott Executive Wardha,6851,19.6352,76.5493,https://source.unsplash.com/800x600/?Vishwa%20Shanti%20Stupa%20View%2CWildlife%2CMaharashtra
Artillery Museum Heritage,Nashik,Fort,Low,Monsoon,Wildlife,3.5,3674,/static/images/artillery_museum_heritage.jpg,https://www.youtube.com/embed/sample_artillery_museum_heritage,Royal Inn Nashik,1086,Orchid Resort Nashik,4899,17.9915,78.1837,https://source.unsplash.com/800x600/?Artillery%20Museum%20Heritage%2CFort%2CMaharashtra
Deolali View,Nashik,Historical,Medium,Monsoon,Nature,3.7,5257,/static/images/deolali_view.jpg,https://www.youtube.com/embed/sample_deolali_view,City Center Guest House Nashik,1375,Vivanta Plaza Nashik,6179,16.4466,75.4281,https://source.unsplash.com/800x600/?Deolali%20View%2CHistorical%2CMaharashtra
Kunkeshwar Temple,Sindhudurg,Spiritual,Medium,All,Spiritual,4.0,7002,/static/images/kunkeshwar_temple.jpg,https://www.youtube.com/embed/sample_kunkeshwar_temple,Green Leaf Lodge Sindhudurg,1735,Vivanta Plaza Sindhudurg,5471,17.3008,79.5967,https://source.unsplash.com/800x600/?Kunkeshwar%20Temple%2CSpiritual%2CMaharashtra
Shani Shingnapur,Ahmednagar,Beach,High,Winter,Relaxation,4.0,12744,/static/images/shani_shingnapur.jpg,https://www.youtube.com/embed/sample_shani_shingnapur,Heritage Home Ahmednagar,1307,The Grand Regency Ahmednagar,4808,19.033,74.5577,https://source.unsplash.com/800x600/?Shani%20Shingnapur%2CBeach%2CMaharashtra
Bhakti Dham Museum,Amravati,Fort,Low,Monsoon,Cultural,4.2,1821,/static/images/bhakti_dham_museum.jpg,https://www.youtube.com/embed/sample_bhakti_dham_museum,Green Leaf Lodge Amravati,1665,Marriott Executive Amravati,6186,20.1563,76.3868,https://source.unsplash.com/800x600/?Bhakti%20Dham%20Museum%2CFort%2CMaharashtra
Hazur Sahib Gurudwara,Nanded,Spiritual,Low,All,Spiritual,3.8,3031,/static/images/hazur_sahib_gurudwara.jpg,https://www.youtube.com/embed/sample_hazur_sahib_gurudwara,Green Leaf Lodge Nanded,1647,The Taj Mahal Inn Nanded,6195,18.3821,73.1562,https://source.unsplash.com/800x600/?Hazur%20Sahib%20Gurudwara%2CSpiritual%2CMaharashtra
Deolali Lake Side,Nashik,Fort,Low,Monsoon,Adventure,4.3,2743,/static/images/deolali_lake_side.jpg,https://www.youtube.com/embed/sample_deolali_lake_side,Pleasant Stay Nashik,1174,The Taj Mahal Inn Nashik,4900,17.219,75.6943,https://source.unsplash.com/800x600/?Deolali%20Lake%20Side%2CFort%2CMaharashtra
Shirdi Saibaba Temple,Ahmednagar,Spiritual,Medium,All,Spiritual,3.8,4011,/static/images/shirdi_saibaba_temple.jpg,https://www.youtube.com/embed/sample_shirdi_saibaba_temple,Hotel Sai Ahmednagar,1692,Marriott Executive Ahmednagar,4221,18.3164,78.2394,https://source.unsplash.com/800x600/?Shirdi%20Saibaba%20Temple%2CSpiritual%2CMaharashtra
Shiroda Beach Lake Side,Sindhudurg,Beach,High,Monsoon,Relaxation,4.2,8600,/static/images/shiroda_beach_lake_side.jpg,https://www.youtube.com/embed/sample_shiroda_beach_lake_side,Pleasant Stay Sindhudurg,1266,Vivanta Plaza Sindhudurg,5393,17.0869,73.5456,https://source.unsplash.com/800x600/?Shiroda%20Beach%20Lake%20Side%2CBeach%2CMaharashtra
Hedvi Beach,Ratnagiri,Beach,High,All,Relaxation,4.5,13118,/static/images/hedvi_beach.jpg,https://www.youtube.com/embed/sample_hedvi_beach,The Residency Ratnagiri,1720,The Taj Mahal Inn Ratnagiri,6142,20.7473,76.2229,https://source.unsplash.com/800x600/?Hedvi%20Beach%2CBeach%2CMaharashtra
Bibi Ka Maqbara Heritage,Aurangabad,Beach,High,All,Adventure,4.1,14009,/static/images/bibi_ka_maqbara_heritage.jpg,https://www.youtube.com/embed/sample_bibi_ka_maqbara_heritage,Heritage Home Aurangabad,1206,The Taj Mahal Inn Aurangabad,4320,17.2958,76.6317,https://source.unsplash.com/800x600/?Bibi%20Ka%20Maqbara%20Heritage%2CBeach%2CMaharashtra
Sagargad Fort Museum,Raigad,Fort,High,Winter,Adventure,3.9,12742,/static/images/sagargad_fort_museum.jpg,https://www.youtube.com/embed/sample_sagargad_fort_museum,Heritage Home Raigad,1548,Marriott Executive Raigad,6929,16.3776,77.2872,https://source.unsplash.com/800x600/?Sagargad%20Fort%20Museum%2CFort%2CMaharashtra
Kohoj Fort Valley,Palghar,Fort,High,All,Adventure,4.1,8199,/static/images/kohoj_fort_valley.jpg,https://www.youtube.com/embed/sample_kohoj_fort_valley,Hotel Sai Palghar,1234,Vivanta Plaza Palghar,4557,16.7879,75.7013,https://source.unsplash.com/800x600/?Kohoj%20Fort%20Valley%2CFort%2CMaharashtra
Ausa Fort Ancient Site,Latur,Fort,High,Winter,Adventure,4.9,14712,/static/images/ausa_fort_ancient_site.jpg,https://www.youtube.com/embed/sample_ausa_fort_ancient_site,Heritage Home Latur,1007,The Taj Mahal Inn Latur,4797,18.8854,74.2164,https://source.unsplash.com/800x600/?Ausa%20Fort%20Ancient%20Site%2CFort%2CMaharashtra
Pashan Lake Garden,Pune,Hill,Medium,Winter,Nature,4.4,7152,/static/images/pashan_lake_garden.jpg,https://www.youtube.com/embed/sample_pashan_lake_garden,Hotel Sai Pune,1193,The Grand Regency Pune,3512,20.5776,79.3562,https://source.unsplash.com/800x600/?Pashan%20Lake%20Garden%2CHill%2CMaharashtra
Bahubali Jain Temple,Kolhapur,Spiritual,Low,All,Spiritual,3.5,1801,/static/images/bahubali_jain_temple.jpg,https://www.youtube.com/embed/sample_bahubali_jain_temple,Royal Inn Kolhapur,1705,Novotel Heritage Kolhapur,5111,17.4537,76.4323,https://source.unsplash.com/800x600/?Bahubali%20Jain%20Temple%2CSpiritual%2CMaharashtra
Soneri Mahal Ancient Site,Chhatrapati Sambhaji Nagar,Historical,Low,Monsoon,Spiritual,4.0,2403,/static/images/soneri_mahal_ancient_site.jpg,https://www.youtube.com/embed/sample_soneri_mahal_ancient_site,Hotel Sai Chhatrapati Sambhaji Nagar,1432,Orchid Resort Chhatrapati Sambhaji Nagar,4655,19.4693,73.2148,https://source.unsplash.com/800x600/?Soneri%20Mahal%20Ancient%20Site%2CHistorical%2CMaharashtra
Kunkeshwar Temple View,Sindhudurg,Spiritual,Medium,Winter,Spiritual,4.6,6257,/static/images/kunkeshwar_temple_view.jpg,https://www.youtube.com/embed/sample_kunkeshwar_temple_view,Pleasant Stay Sindhudurg,1504,Novotel Heritage Sindhudurg,5917,20.9012,76.1074,https://source.unsplash.com/800x600/?Kunkeshwar%20Temple%20View%2CSpiritual%2CMaharashtra
Bassein Fort Memorial,Thane,Fort,Medium,Winter,Adventure,4.3,5479,/static/images/bassein_fort_memorial.jpg,https://www.youtube.com/embed/sample_bassein_fort_memorial,Hotel Sai Thane,1245,Orchid Resort Thane,4891,18.2781,74.6977,https://source.unsplash.com/800x600/?Bassein%20Fort%20Memorial%2CFort%2CMaharashtra
Naigaon Peacock Sanctuary Point,Beed,Wildlife,Low,All,Wildlife,4.3,2329,/static/images/naigaon_peacock_sanctuary_point.jpg,https://www.youtube.com/embed/sample_naigaon_peacock_sanctuary_point,Royal Inn Beed,1073,The Grand Regency Beed,3580,20.2843,73.6359,https://source.unsplash.com/800x600/?Naigaon%20Peacock%20Sanctuary%20Point%2CWildlife%2CMaharashtra
Ajanta Caves View,Jalgaon,Historical,Medium,Winter,Cultural,4.7,5449,/static/images/ajanta_caves_view.jpg,https://www.youtube.com/embed/sample_ajanta_caves_view,Green Leaf Lodge Jalgaon,1371,Orchid Resort Jalgaon,5421,19.8075,74.2081,https://source.unsplash.com/800x600/?Ajanta%20Caves%20View%2CHistorical%2CMaharashtra
Melghat Tiger Reserve Ancient Site,Amravati,Wildlife,High,Monsoon,Wildlife,4.1,8564,/static/images/melghat_tiger_reserve_ancient_site.jpg,https://www.youtube.com/embed/sample_melghat_tiger_reserve_ancient_site,Heritage Home Amravati,1718,The Taj Mahal Inn Amravati,5450,20.8786,76.0297,https://source.unsplash.com/800x600/?Melghat%20Tiger%20Reserve%20Ancient%20Site%2CWildlife%2CMaharashtra
Naroshankar Temple Museum,Nashik,Spiritual,High,All,Spiritual,4.4,9657,/static/images/naroshankar_temple_museum.jpg,https://www.youtube.com/embed/sample_naroshankar_temple_museum,Green Leaf Lodge Nashik,1254,Gateway Palace Nashik,5602,19.0758,73.2775,https://source.unsplash.com/800x600/?Naroshankar%20Temple%20Museum%2CSpiritual%2CMaharashtra
Arnala Beach Heritage,Palghar,Beach,Medium,Winter,Relaxation,4.2,6646,/static/images/arnala_beach_heritage.jpg,https://www.youtube.com/embed/sample_arnala_beach_heritage,Royal Inn Palghar,1009,Orchid Resort Palghar,6776,19.3876,75.5285,https://source.unsplash.com/800x600/?Arnala%20Beach%20Heritage%2CBeach%2CMaharashtra
Melghat Tiger Reserve Garden,Amravati,Wildlife,Low,Winter,Wildlife,4.1,3371,/static/images/melghat_tiger_reserve_garden.jpg,https://www.youtube.com/embed/sample_melghat_tiger_reserve_garden,The Residency Amravati,1085,Gateway Palace Amravati,6326,16.5442,79.7178,https://source.unsplash.com/800x600/?Melghat%20Tiger%20Reserve%20Garden%2CWildlife%2CMaharashtra
Katraj Lake Valley,Pune,Beach,High,Winter,Wildlife,4.1,9590,/static/images/katraj_lake_valley.jpg,https://www.youtube.com/embed/sample_katraj_lake_valley,Green Leaf Lodge Pune,1315,Novotel Heritage Pune,4134,20.0099,73.0697,https://source.unsplash.com/800x600/?Katraj%20Lake%20Valley%2CBeach%2CMaharashtra
Patnadevi Temple Heritage,Jalgaon,Spiritual,Low,All,Spiritual,4.3,3325,/static/images/patnadevi_temple_heritage.jpg,https://www.youtube.com/embed/sample_patnadevi_temple_heritage,City Center Guest House Jalgaon,1187,Novotel Heritage Jalgaon,3548,16.5641,75.978,https://source.unsplash.com/800x600/?Patnadevi%20Temple%20Heritage%2CSpiritual%2CMaharashtra
Matsyodari Devi Temple Point,Jalna,Spiritual,Low,Winter,Spiritual,4.5,1781,/static/images/matsyodari_devi_temple_point.jpg,https://www.youtube.com/embed/sample_matsyodari_devi_temple_point,Heritage Home Jalna,1121,Novotel Heritage Jalna,4620,18.7564,74.6142,https://source.unsplash.com/800x600/?Matsyodari%20Devi%20Temple%20Point%2CSpiritual%2CMaharashtra
Siddheshwar Mandir Lake Side,Ahmednagar,Spiritual,Medium,Winter,Spiritual,4.8,4339,/static/images/siddheshwar_mandir_lake_side.jpg,https://www.youtube.com/embed/sample_siddheshwar_mandir_lake_side,Green Leaf Lodge Ahmednagar,1229,The Taj Mahal Inn Ahmednagar,4513,18.5086,78.3156,https://source.unsplash.com/800x600/?Siddheshwar%20Mandir%20Lake%20Side%2CSpiritual%2CMaharashtra
Akkalkuwa Fort,Nandurbar,Fort,Low,Monsoon,Adventure,4.6,3860,/static/images/akkalkuwa_fort.jpg,https://www.youtube.com/embed/sample_akkalkuwa_fort,Hotel Sai Nandurbar,1381,The Taj Mahal Inn Nandurbar,5232,16.3275,75.8678,https://source.unsplash.com/800x600/?Akkalkuwa%20Fort%2CFort%2CMaharashtra
Ajanta Caves Ancient Site,Jalgaon,Historical,High,Winter,Cultural,3.5,13405,/static/images/ajanta_caves_ancient_site.jpg,https://www.youtube.com/embed/sample_ajanta_caves_ancient_site,Green Leaf Lodge Jalgaon,1153,Gateway Palace Jalgaon,5013,17.9384,77.2777,https://source.unsplash.com/800x600/?Ajanta%20Caves%20Ancient%20Site%2CHistorical%2CMaharashtra
Moti Bagh Point,Jalna,Historical,Low,Winter,Spiritual,4.8,3044,/static/images/moti_bagh_point.jpg,https://www.youtube.com/embed/sample_moti_bagh_point,City Center Guest House Jalna,1089,Novotel Heritage Jalna,5947,17.6424,77.0692,https://source.unsplash.com/800x600/?Moti%20Bagh%20Point%2CHistorical%2CMaharashtra
Prakash Temple,Nandurbar,Spiritual,Medium,All,Spiritual,4.8,5340,/static/images/prakash_temple.jpg,https://www.youtube.com/embed/sample_prakash_temple,Heritage Home Nandurbar,1720,Novotel Heritage Nandurbar,3504,18.7199,75.6965,https://source.unsplash.com/800x600/?Prakash%20Temple%2CSpiritual%2CMaharashtra
Vishnupuri Dam View,Nanded,Beach,High,Monsoon,Relaxation,3.5,10227,/static/images/vishnupuri_dam_view.jpg,https://www.youtube.com/embed/sample_vishnupuri_dam_view,Hotel Sai Nanded,1478,Novotel Heritage Nanded,4070,17.722,78.7501,https://source.unsplash.com/800x600/?Vishnupuri%20Dam%20View%2CBeach%2CMaharashtra
Shirpur Jain Temple Point,Washim,Spiritual,High,All,Spiritual,4.7,13884,/static/images/shirpur_jain_temple_point.jpg,https://www.youtube.com/embed/sample_shirpur_jain_temple_point,Royal Inn Washim,1125,Vivanta Plaza Washim,6972,19.0243,74.3818,https://source.unsplash.com/800x600/?Shirpur%20Jain%20Temple%20Point%2CSpiritual%2CMaharashtra
Koyna Dam Museum,Satara,Nature,Medium,Winter,Cultural,4.8,5815,/static/images/koyna_dam_museum.jpg,https://www.youtube.com/embed/sample_koyna_dam_museum,Hotel Sai Satara,1249,Gateway Palace Satara,6157,17.6448,77.9586,https://source.unsplash.com/800x600/?Koyna%20Dam%20Museum%2CNature%2CMaharashtra
Udgir Fort,Latur,Fort,Low,All,Adventure,4.6,3337,/static/images/udgir_fort.jpg,https://www.youtube.com/embed/sample_udgir_fort,Heritage Home Latur,1077,Marriott Executive Latur,6916,16.9624,73.7624,https://source.unsplash.com/800x600/?Udgir%20Fort%2CFort%2CMaharashtra
Pawas Ashram Point,Ratnagiri,Wildlife,High,Winter,Nature,4.5,13271,/static/images/pawas_ashram_point.jpg,https://www.youtube.com/embed/sample_pawas_ashram_point,Heritage Home Ratnagiri,1597,Gateway Palace Ratnagiri,3965,19.553,77.5692,https://source.unsplash.com/800x600/?Pawas%20Ashram%20Point%2CWildlife%2CMaharashtra
Padmalsaya Temple Memorial,Jalgaon,Spiritual,Low,Winter,Spiritual,4.4,3748,/static/images/padmalsaya_temple_memorial.jpg,https://www.youtube.com/embed/sample_padmalsaya_temple_memorial,Heritage Home Jalgaon,1738,The Taj Mahal Inn Jalgaon,6677,17.6564,78.6754,https://source.unsplash.com/800x600/?Padmalsaya%20Temple%20Memorial%2CSpiritual%2CMaharashtra
Deolali Ancient Site,Nashik,Fort,Medium,Monsoon,Adventure,3.8,5041,/static/images/deolali_ancient_site.jpg,https://www.youtube.com/embed/sample_deolali_ancient_site,The Residency Nashik,1308,Novotel Heritage Nashik,4511,16.3462,77.4278,https://source.unsplash.com/800x600/?Deolali%20Ancient%20Site%2CFort%2CMaharashtra
Babulnath Temple Museum,Mumbai,Spiritual,Low,Winter,Spiritual,3.8,2587,/static/images/babulnath_temple_museum.jpg,https://www.youtube.com/embed/sample_babulnath_temple_museum,City Center Guest House Mumbai,1453,The Taj Mahal Inn Mumbai,4318,19.0115,77.0505,https://source.unsplash.com/800x600/?Babulnath%20Temple%20Museum%2CSpiritual%2CMaharashtra
Bhide Wada Ancient Site,Pune,Spiritual,Medium,Winter,Relaxation,3.5,5805,/static/images/bhide_wada_ancient_site.jpg,https://www.youtube.com/embed/sample_bhide_wada_ancient_site,City Center Guest House Pune,1578,Marriott Executive Pune,3802,18.7027,77.3662,https://source.unsplash.com/800x600/?Bhide%20Wada%20Ancient%20Site%2CSpiritual%2CMaharashtra
Bor Wildlife Sanctuary View,Wardha,Wildlife,Low,Winter,Wildlife,4.3,1581,/static/images/bor_wildlife_sanctuary_view.jpg,https://www.youtube.com/embed/sample_bor_wildlife_sanctuary_view,Royal Inn Wardha,1473,Orchid Resort Wardha,5533,18.7093,77.2641,https://source.unsplash.com/800x600/?Bor%20Wildlife%20Sanctuary%20View%2CWildlife%2CMaharashtra
Hedvi Beach Point,Ratnagiri,Beach,Low,Winter,Relaxation,4.3,2291,/static/images/hedvi_beach_point.jpg,https://www.youtube.com/embed/sample_hedvi_beach_point,City Center Guest House Ratnagiri,1696,The Taj Mahal Inn Ratnagiri,4887,19.0225,74.6063,https://source.unsplash.com/800x600/?Hedvi%20Beach%20Point%2CBeach%2CMaharashtra
Karli Backwaters Valley,Sindhudurg,Spiritual,Medium,All,Adventure,3.6,4209,/static/images/karli_backwaters_valley.jpg,https://www.youtube.com/embed/sample_karli_backwaters_valley,Green Leaf Lodge Sindhudurg,1341,Vivanta Plaza Sindhudurg,6061,17.5775,78.312,https://source.unsplash.com/800x600/?Karli%20Backwaters%20Valley%2CSpiritual%2CMaharashtra
Shirgaon Fort Point,Palghar,Fort,Medium,Monsoon,Adventure,4.5,7014,/static/images/shirgaon_fort_point.jpg,https://www.youtube.com/embed/sample_shirgaon_fort_point,The Residency Palghar,1216,The Taj Mahal Inn Palghar,5298,16.4725,77.972,https://source.unsplash.com/800x600/?Shirgaon%20Fort%20Point%2CFort%2CMaharashtra
Sewri Fort Valley,Mumbai,Fort,High,Winter,Adventure,3.9,9040,/static/images/sewri_fort_valley.jpg,https://www.youtube.com/embed/sample_sewri_fort_valley,Hotel Sai Mumbai,1481,Vivanta Plaza Mumbai,4061,17.0001,73.6145,https://source.unsplash.com/800x600/?Sewri%20Fort%20Valley%2CFort%2CMaharashtra
Asherigad Fort Lake Side,Palghar,Fort,Medium,All,Adventure,4.1,4470,/static/images/asherigad_fort_lake_side.jpg,https://www.youtube.com/embed/sample_asherigad_fort_lake_side,The Residency Palghar,1153,Gateway Palace Palghar,6065,16.6645,76.672,https://source.unsplash.com/800x600/?Asherigad%20Fort%20Lake%20Side%2CFort%2CMaharashtra
Jehangir Art Gallery Heritage,Mumbai,Historical,High,Monsoon,Relaxation,4.1,14583,/static/images/jehangir_art_gallery_heritage.jpg,https://www.youtube.com/embed/sample_jehangir_art_gallery_heritage,Green Leaf Lodge Mumbai,1181,Vivanta Plaza Mumbai,4266,18.6343,74.6926,https://source.unsplash.com/800x600/?Jehangir%20Art%20Gallery%20Heritage%2CHistorical%2CMaharashtra
Shegaon Gajanan Maharaj Temple View,Buldhana,Spiritual,Low,Winter,Spiritual,3.8,2145,/static/images/shegaon_gajanan_maharaj_temple_view.jpg,https://www.youtube.com/embed/sample_shegaon_gajanan_maharaj_temple_view,City Center Guest House Buldhana,1681,The Grand Regency Buldhana,4475,18.2307,77.5285,https://source.unsplash.com/800x600/?Shegaon%20Gajanan%20Maharaj%20Temple%20View%2CSpiritual%2CMaharashtra
Gaganbawada Lake Side,Kolhapur,Historical,High,Winter,Nature,3.9,11237,/static/images/gaganbawada_lake_side.jpg,https://www.youtube.com/embed/sample_gaganbawada_lake_side,Green Leaf Lodge Kolhapur,1199,The Grand Regency Kolhapur,3762,19.9563,78.4414,https://source.unsplash.com/800x600/?Gaganbawada%20Lake%20Side%2CHistorical%2CMaharashtra
Ambazari Lake Memorial,Nagpur,Wildlife,Medium,Winter,Cultural,3.7,5247,/static/images/ambazari_lake_memorial.jpg,https://www.youtube.com/embed/sample_ambazari_lake_memorial,Hotel Sai Nagpur,1686,Vivanta Plaza Nagpur,5912,17.5142,75.014,https://source.unsplash.com/800x600/?Ambazari%20Lake%20Memorial%2CWildlife%2CMaharashtra
Yeoor Hills Lake Side,Thane,Hill,Medium,All,Nature,3.7,6498,/static/images/yeoor_hills_lake_side.jpg,https://www.youtube.com/embed/sample_yeoor_hills_lake_side,Hotel Sai Thane,1652,Orchid Resort Thane,3644,17.9783,76.1241,https://source.unsplash.com/800x600/?Yeoor%20Hills%20Lake%20Side%2CHill%2CMaharashtra
Kolaba Fort Heritage,Raigad,Fort,High,Winter,Adventure,3.7,14844,/static/images/kolaba_fort_heritage.jpg,https://www.youtube.com/embed/sample_kolaba_fort_heritage,City Center Guest House Raigad,1148,Orchid Resort Raigad,6919,20.4077,73.5634,https://source.unsplash.com/800x600/?Kolaba%20Fort%20Heritage%2CFort%2CMaharashtra
Ganpatipule Beach Heritage,Ratnagiri,Beach,Medium,Winter,Relaxation,4.4,7859,/static/images/ganpatipule_beach_heritage.jpg,https://www.youtube.com/embed/sample_ganpatipule_beach_heritage,Royal Inn Ratnagiri,1751,Gateway Palace Ratnagiri,4417,18.5092,76.9892,https://source.unsplash.com/800x600/?Ganpatipule%20Beach%20Heritage%2CBeach%2CMaharashtra
Paranda Fort Lake Side,Dharashiv,Fort,High,Monsoon,Adventure,3.7,8677,/static/images/paranda_fort_lake_side.jpg,https://www.youtube.com/embed/sample_paranda_fort_lake_side,Pleasant Stay Dharashiv,1205,Orchid Resort Dharashiv,5325,19.4642,77.9646,https://source.unsplash.com/800x600/?Paranda%20Fort%20Lake%20Side%2CFort%2CMaharashtra
Ram Kund View,Nashik,Wildlife,Medium,All,Nature,4.9,4524,/static/images/ram_kund_view.jpg,https://www.youtube.com/embed/sample_ram_kund_view,Pleasant Stay Nashik,1110,Vivanta Plaza Nashik,4336,20.6296,76.8789,https://source.unsplash.com/800x600/?Ram%20Kund%20View%2CWildlife%2CMaharashtra
Revdanda Fort,Raigad,Fort,Low,Monsoon,Adventure,3.7,3442,/static/images/revdanda_fort.jpg,https://www.youtube.com/embed/sample_revdanda_fort,The Residency Raigad,1596,Orchid Resort Raigad,6296,20.6316,75.932,https://source.unsplash.com/800x600/?Revdanda%20Fort%2CFort%2CMaharashtra
Asadgad Fort View,Akola,Fort,Medium,All,Adventure,4.7,4207,/static/images/asadgad_fort_view.jpg,https://www.youtube.com/embed/sample_asadgad_fort_view,Royal Inn Akola,1036,Orchid Resort Akola,5342,16.6543,77.2405,https://source.unsplash.com/800x600/?Asadgad%20Fort%20View%2CFort%2CMaharashtra
Kharosa Caves View,Latur,Historical,High,All,Cultural,4.1,13253,/static/images/kharosa_caves_view.jpg,https://www.youtube.com/embed/sample_kharosa_caves_view,Hotel Sai Latur,1175,Novotel Heritage Latur,6524,16.4332,73.9265,https://source.unsplash.com/800x600/?Kharosa%20Caves%20View%2CHistorical%2CMaharashtra
Hemalkasa Memorial,Gadchiroli,Beach,Low,All,Nature,4.5,1671,/static/images/hemalkasa_memorial.jpg,https://www.youtube.com/embed/sample_hemalkasa_memorial,City Center Guest House Gadchiroli,1492,Vivanta Plaza Gadchiroli,5227,18.6471,77.0183,https://source.unsplash.com/800x600/?Hemalkasa%20Memorial%2CBeach%2CMaharashtra
Kolaba Fort Lake Side,Raigad,Fort,High,All,Adventure,4.9,9433,/static/images/kolaba_fort_lake_side.jpg,https://www.youtube.com/embed/sample_kolaba_fort_lake_side,Royal Inn Raigad,1308,Novotel Heritage Raigad,3512,17.2856,78.8944,https://source.unsplash.com/800x600/?Kolaba%20Fort%20Lake%20Side%2CFort%2CMaharashtra
Bhandardara Dam Lake Side,Ahmednagar,Wildlife,Medium,All,Adventure,4.3,4476,/static/images/bhandardara_dam_lake_side.jpg,https://www.youtube.com/embed/sample_bhandardara_dam_lake_side,Hotel Sai Ahmednagar,1220,Orchid Resort Ahmednagar,6678,18.2159,74.3037,https://source.unsplash.com/800x600/?Bhandardara%20Dam%20Lake%20Side%2CWildlife%2CMaharashtra
Melghat Tiger Reserve Point,Amravati,Wildlife,Low,All,Wildlife,4.6,3477,/static/images/melghat_tiger_reserve_point.jpg,https://www.youtube.com/embed/sample_melghat_tiger_reserve_point,Pleasant Stay Amravati,1683,Vivanta Plaza Amravati,4426,16.9547,79.7509,https://source.unsplash.com/800x600/?Melghat%20Tiger%20Reserve%20Point%2CWildlife%2CMaharashtra
Pench National Park,Nagpur,Wildlife,High,All,Wildlife,4.3,9117,/static/images/pench_national_park.jpg,https://www.youtube.com/embed/sample_pench_national_park,Heritage Home Nagpur,1668,Novotel Heritage Nagpur,4402,16.2156,73.4326,https://source.unsplash.com/800x600/?Pench%20National%20Park%2CWildlife%2CMaharashtra
Bahubali Jain Temple Valley,Kolhapur,Spiritual,High,Winter,Spiritual,3.9,11486,/static/images/bahubali_jain_temple_valley.jpg,https://www.youtube.com/embed/sample_bahubali_jain_temple_valley,City Center Guest House Kolhapur,1729,The Grand Regency Kolhapur,5466,17.8729,78.819,https://source.unsplash.com/800x600/?Bahubali%20Jain%20Temple%20Valley%2CSpiritual%2CMaharashtra
